------------- NVBit (NVidia Binary Instrumentation Tool v1.5.5) Loaded --------------
NVBit core environment variables (mostly for nvbit-devs):
            NVDISASM = nvdisasm - override default nvdisasm found in PATH
            NOBANNER = 0 - if set, does not print this banner
---------------------------------------------------------------------------------
         INSTR_BEGIN = 0 - Beginning of the instruction interval where to apply instrumentation
           INSTR_END = 4294967295 - End of the instruction interval where to apply instrumentation
        TOOL_VERBOSE = 0 - Enable verbosity inside the tool
----------------------------------------------------------------------------------------------------
byte : 32768
No CUDA error.
MEMTRACE: CTX 0x000055f5fd963f10 - LAUNCH - Kernel pc 0x00007fa672fa1a00 - Kernel name vecAdd(float*, float*, float*, int) - grid launch id 1 - grid size 8,1,1 - block size 1024,1,1 - nregs 12 - shmem 0 - cuda stream id 0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d240
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d260
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b680
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b6a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b6c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b6e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bc00
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bc20
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bc40
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bc60
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730dd00
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730dd20
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730dd40
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730dd60
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309200
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309220
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309240
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309260
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730f480
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730f4a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730f4c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730f4e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730ab80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730aba0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730abc0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730abe0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b100
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b120
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b140
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b160
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309180
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa6573091a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa6573091c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa6573091e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bb80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bba0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bbc0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bbe0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e000
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e020
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e040
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e060
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bc80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bca0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bcc0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bce0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d380
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d3a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d3c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d3e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730db80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730dba0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730dbc0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730dbe0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308c00
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308c20
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308c40
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308c60
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730f680
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730f6a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730f6c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730f6e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a600
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a620
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a640
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a660
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309c80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309ca0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309cc0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309ce0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b880
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b8a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b8c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b8e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d080
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d0a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d0c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d0e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b900
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b920
